[0.70177047 0.71050464]	[2.79786618 3.26326458]
[0.38482905 0.34502027]	[1.83344681 1.14032292]
[0.45642336 0.67143575]	[-0.6087398   5.45344064]
[0.18496152 0.87801724]	[0.65546519 4.72854289]
[0.62526238 0.69556102]	[2.42598279 4.75052014]
[0.19807803 0.03319685]	[-0.43318737  0.45252096]
[0.70135717 0.76228229]	[3.18063895 4.73303231]
[0.98892669 0.62803628]	[2.22275336 6.36087477]
[0.08405562 0.35655012]	[0.84872565 1.43039529]
[0.07925328 0.59101595]	[2.6170357  3.13730396]
[0.12946507 0.57908872]	[-0.15471211  3.11880473]
[0.14672474 0.09335741]	[-1.77254185  1.81256903]
[0.80492205 0.59477729]	[2.72975049 5.94705984]
[0.04450945 0.60793256]	[2.30861383 2.51704366]
[0.45087505 0.20427192]	[1.1754011  1.48630834]
[0.32079515 0.7063044 ]	[0.83122101 3.16509973]
[0.07441293 0.57930875]	[-0.1281443   4.27178248]
[0.81528016 0.09374065]	[0.23029402 2.77520269]
[0.00835869 0.09057171]	[2.26509999 1.59279792]
[0.30373549 0.27927803]	[1.61055305 0.66346446]
[0.5645952  0.23086321]	[2.17564693 4.13942711]
[0.30020951 0.70557855]	[2.512326  1.7381635]
[0.25169856 0.57972158]	[0.23193896 2.42483257]
[0.36213587 0.01406801]	[0.29233917 1.86064419]
[0.40090659 0.02775116]	[0.63128358 1.91185092]
[0.95595715 0.78613659]	[3.12161541 5.47614095]
[0.52869206 0.50795689]	[2.22361471 3.85371525]
[0.39332589 0.2724025 ]	[1.08728336 1.29029094]
[0.36917836 0.5058523 ]	[2.23178899 3.88549643]
[0.0603273  0.86707927]	[2.14462283 3.92749427]
[0.19530197 0.95912532]	[1.37513562 5.92634462]
[0.97098168 0.41657124]	[0.44954087 5.20962419]
[0.32351314 0.6679933 ]	[2.09438693 5.26143817]
[0.54632698 0.0699994 ]	[0.25571054 1.44122167]
[0.6222254  0.68256664]	[2.35414402 3.5014359 ]
[0.25817998 0.6685993 ]	[2.14556341 4.68967759]
[0.30169636 0.646916  ]	[0.94085006 2.57049384]
[0.18155152 0.14276518]	[-0.2310428   1.95094322]
[0.23232508 0.36800354]	[1.00005426 4.34108336]
[0.64528126 0.02040275]	[0.06720441 3.27657183]
[0.56022519 0.17886329]	[0.45648102 2.35582886]
[0.08695572 0.37905064]	[1.69289379 1.11294638]
[0.28925277 0.36722714]	[1.55365009 2.76482519]
[0.92443562 0.80456022]	[0.67324339 6.68903998]
[0.51093055 0.18784893]	[-0.32299578  1.00236956]
[0.24862489 0.80811172]	[2.04053759 4.51990707]
[0.26763244 0.87281006]	[0.44201224 4.75379177]
[0.20964771 0.86802654]	[1.43559496 7.51349279]
[0.54548088 0.36866826]	[1.82448481 2.75963867]
[0.33744098 0.13536225]	[1.53384563 1.96762769]
[0.21805779 0.23430957]	[-0.94468916  0.73244239]
[0.40248223 0.33830162]	[0.46066853 3.65339382]
[0.6222669  0.17746174]	[1.58266712 2.05656771]
[0.46252066 0.51556605]	[1.98840091 4.07836321]
[0.22240476 0.35781169]	[1.18842724 3.4128366 ]
[0.46983126 0.2174166 ]	[0.71771723 2.44124171]
[0.85898167 0.79664756]	[2.68305746 5.96208566]
[0.51811879 0.81157147]	[3.34673544 6.14240052]
[0.38813547 0.87818691]	[2.20930809 2.55168049]
[0.51312005 0.18092683]	[-0.26202477  2.01431515]
[0.75455301 0.41388972]	[-0.43116007  4.277257  ]
[0.81998147 0.80185177]	[2.12097371 7.70885381]
[0.55086113 0.20759014]	[-0.99352299  2.47421839]
[0.54930669 0.43895048]	[2.23176089 2.42995261]
[0.09311833 0.33624208]	[0.84337486 0.57166885]
[0.289564   0.23752223]	[1.07326215 2.82796276]
[0.00868736 0.32414657]	[2.16490937 0.88159395]
[0.54676993 0.54476312]	[2.07357563 4.37231722]
[0.17250698 0.29903981]	[1.39876083 2.16027336]
[0.17115638 0.87868287]	[1.32233202 5.02106652]
[0.25698521 0.00201782]	[0.26424197 0.6446521 ]
[0.51837484 0.06533515]	[-0.21060598  1.66665136]
[0.18941226 0.40842165]	[0.93481817 2.13451195]
[0.34366109 0.51435638]	[2.83361364 3.5023685 ]
[0.86784071 0.41807454]	[2.60286184 2.33345167]
[0.31496977 0.18767188]	[-0.3224817  0.4108568]
[0.01896888 0.96942978]	[3.01039178 3.18981449]
[0.95946928 0.88082113]	[2.84039212 5.76600384]
[0.27875285 0.8261612 ]	[1.68767086 4.99541105]
[0.02853375 0.43718581]	[0.20405748 1.9926823 ]
[0.74529458 0.40097624]	[1.17630931 5.88680472]
[0.06798899 0.55679763]	[1.90908344 1.8287341 ]
[0.55127146 0.22230049]	[0.24575178 2.22107772]
[0.83271414 0.65235009]	[2.4492118  5.73904622]
[0.99889795 0.55095557]	[2.05865823 5.81961458]
[0.33101341 0.26453368]	[1.58135181 0.94743833]
[0.56914954 0.15200005]	[0.68513363 1.18168211]
[0.12995317 0.50358531]	[0.56942985 0.89995562]
[0.06571358 0.63747729]	[0.29934248 1.15987142]
[0.07511196 0.48978999]	[-0.41080239  0.53373967]
[0.5655813  0.45784858]	[4.32118171 4.06107812]
[0.77474034 0.43488567]	[2.85625648 3.6860625 ]
[0.43704737 0.49614777]	[2.16301827 2.69976243]
[0.3166472  0.92092606]	[3.34693203 5.57368685]
[0.76400009 0.19630301]	[1.2597672  2.57313293]
[0.0881161  0.19623259]	[0.44536844 3.41515038]
[0.11430234 0.67526878]	[1.59447694 2.94751088]
[0.33486022 0.80165223]	[3.59232902 4.88248283]
[0.34423372 0.93864033]	[3.34365039 5.36075661]
[0.77036145 0.69423275]	[2.27030576 6.28080427]
[0.2177241  0.03159489]	[1.16401111 1.4139282 ]
[0.03413843 0.63400482]	[0.09959731 2.81568123]
[0.62819804 0.52790013]	[3.02016852 5.8571031 ]
[0.87293836 0.667153  ]	[1.9259107  5.75301238]
[0.94430757 0.87488193]	[2.05561376 6.75991083]
[0.84143151 0.07312229]	[0.27663682 0.98678724]
[0.70224756 0.51187047]	[0.54575756 3.82792686]
[0.35819516 0.82772   ]	[1.4340081  5.44647198]
[0.5550072  0.91533062]	[1.36007058 5.63725118]
[0.05632736 0.97651519]	[0.58218513 3.82827772]
[0.24216513 0.48144639]	[0.64625924 2.88432102]
[0.80701858 0.73637125]	[1.02406589 6.84140437]
[0.05753638 0.07742054]	[0.84954131 1.10095313]
[0.21957513 0.93334716]	[3.78097365 4.02849029]
[0.77770374 0.86315147]	[1.8633898  4.24030191]
[0.69041312 0.09019024]	[0.18190603 2.28066525]
[0.73091689 0.98038777]	[2.35161037 6.83597759]
[0.30765548 0.14737218]	[0.99356624 0.15656643]
[0.23989668 0.66520447]	[2.02616179 3.76446114]
[0.92337243 0.2531348 ]	[0.93180858 4.20094984]
[0.40172707 0.10367814]	[0.55116749 2.18906047]
[0.81629475 0.02924029]	[-0.07992243  3.27702842]
[0.4320347  0.87918102]	[0.52889224 4.59290684]
[0.937129   0.11481294]	[1.05889068 5.15886836]
[0.12544733 0.50305067]	[0.01356417 1.55830827]
[0.70530364 0.07216148]	[0.44977374 2.90026567]
[0.94496475 0.6858676 ]	[0.51585409 3.84330564]
[0.77078955 0.9710085 ]	[2.22096284 5.69429454]
[0.94958321 0.57359428]	[3.80820294 6.14042762]
[0.87740167 0.01916803]	[1.75927491 1.19514532]
[0.86440942 0.74711114]	[2.93123119 4.8294414 ]
[0.71224836 0.11517306]	[2.2925672  4.07059788]
[0.30644587 0.78049277]	[3.71350036 4.1474289 ]
[0.75825963 0.69396478]	[1.58372149 6.02275885]
[0.27433161 0.13862183]	[2.20669637 1.89286719]
[0.71595077 0.02321071]	[1.04847618 2.68297068]
[0.28998793 0.8176738 ]	[1.66492261 3.99656688]
[0.55176057 0.23432978]	[1.21765916 1.98179103]
[0.71355723 0.31643634]	[-0.71548984  1.48638595]
[0.48987157 0.44635648]	[3.04974899 4.70807771]
[0.34324489 0.76643709]	[2.63825687 5.41341047]
[0.4323746  0.30434326]	[0.16420606 2.19116248]
[0.45017982 0.15609313]	[0.67968829 2.53580526]
[0.70932012 0.63011656]	[3.74442967 3.32358715]
[0.88126394 0.86848325]	[3.2212513  6.04745994]
[0.33421554 0.74200257]	[1.92005253 2.27432156]
[0.51796647 0.09009844]	[0.01082523 1.0504917 ]
[0.41525011 0.153572  ]	[0.55266973 1.53352581]
[0.91247393 0.19855328]	[1.79929103 2.23763241]
[0.3177874  0.48878577]	[0.31619173 2.78300281]
[0.83043032 0.98531414]	[2.8186379  5.09595564]
[0.82812106 0.04250322]	[0.12034168 3.93151203]
[0.14115886 0.83558654]	[1.10140116 3.62596023]
[0.23423938 0.98049743]	[0.32253043 5.07552236]
[0.85164277 0.38080671]	[1.57548975 2.35109437]
[0.32858323 0.79420028]	[1.39961312 5.91848955]
[0.24683331 0.67856365]	[-0.36612547  4.63110821]
[0.32783177 0.18606939]	[ 0.45950022 -0.50497737]
[0.83436937 0.6271563 ]	[3.92295092 3.84866428]
[0.99367976 0.60658008]	[1.55875332 5.97385229]
[0.51134204 0.96215124]	[2.59905521 4.88513971]
[0.9433819  0.65573522]	[1.63180979 4.3429209 ]
[0.28730842 0.7761711 ]	[1.51347503 2.10976032]
[0.36537548 0.83029145]	[1.97266375 3.90872168]
[0.95511366 0.77476111]	[2.37622015 7.28714057]
[0.94158821 0.18455293]	[1.25718541 4.91454396]
[0.70579351 0.07928065]	[0.48120582 2.91978519]
[0.76492261 0.12162568]	[3.14113612 2.13958119]
[0.22226921 0.18119368]	[0.90312373 1.65834278]
[0.41862935 0.37988479]	[-0.11471911  2.66596496]
[0.14118546 0.79232404]	[1.82355496 3.79734615]
[0.79506918 0.69698043]	[3.67869884 6.23401584]
[0.76214542 0.0111253 ]	[-1.5704125   2.97754243]
[0.7879165  0.10270101]	[0.89667402 3.81050084]
[0.2797249  0.31743115]	[1.81207184 1.99655214]
[0.77239427 0.99479164]	[1.80027617 6.4303187 ]
[0.91171201 0.10129707]	[1.75895671 3.30579114]
[0.25115247 0.15301978]	[0.51471891 1.58749468]
[0.5464069  0.06603378]	[1.57316288 0.39535717]
[0.70400092 0.09532399]	[2.08340911 4.49593626]
[0.27578752 0.51000301]	[1.47854293 4.64420152]
[0.18353302 0.90143193]	[1.07507793 6.18088815]
[0.91064891 0.99957097]	[3.70997722 4.83991966]
[0.12816145 0.8122589 ]	[1.1574808  3.48441164]
[0.19879546 0.14860008]	[0.53323613 1.86159899]
[0.5202931  0.14545253]	[1.43626328 2.48560539]
[0.83281128 0.86833541]	[3.44325848 5.19787283]
[0.37908979 0.84645832]	[1.98395988 3.793769  ]
[0.82608638 0.53371534]	[2.74043504 4.23109789]
[0.54340052 0.701274  ]	[2.28605775 3.8633174 ]
[0.60409668 0.53820934]	[1.24803271 1.40438686]
[0.59005916 0.91152412]	[2.72727996 5.23799519]
[0.08906555 0.46510434]	[1.62846515 1.76828566]
[0.36179551 0.81112058]	[0.10656551 2.87967053]
[0.26714477 0.22030823]	[0.70691085 0.94910884]
[0.78450138 0.39537465]	[3.16162305 4.07331771]
[0.39529915 0.91644417]	[1.72676197 5.03471043]
[0.2647985  0.59454188]	[-0.05674784  2.97957133]
[0.49228857 0.91961765]	[0.34255398 5.13287347]
[0.63846429 0.64069329]	[2.21404888 4.05990524]
[0.7266637 0.5122085]	[0.5077633  4.81259317]
[0.23187743 0.21436252]	[0.60469241 1.04855658]
[0.44450392 0.36120492]	[1.15688584 2.71280546]
[0.98503759 0.836357  ]	[4.64369327 6.87065576]
[0.31881332 0.7617174 ]	[1.07872239 3.03972931]
[0.7559522  0.04435207]	[-0.11181245  1.49885703]
[0.57836335 0.5582423 ]	[2.10342168 4.84719162]
[0.59468299 0.90796331]	[3.11234936 4.2969558 ]
[0.85194097 0.84526814]	[2.83884222 6.47723781]
[0.81408605 0.24486133]	[1.50404767 2.15663843]
[0.59864868 0.96914367]	[1.41783121 7.11438201]
[0.51862055 0.42547051]	[1.72853899 2.79996304]
[0.91783408 0.68226245]	[2.65439176 5.97321791]
[0.40290725 0.3561136 ]	[2.05633621 3.84890582]
[0.05018364 0.8559997 ]	[0.58475174 2.3354026 ]
[0.55523446 0.3267106 ]	[-1.4034081   2.29125455]
[0.97898314 0.57535329]	[1.67379345 4.77099429]
[0.6171316  0.69713756]	[1.09282542 5.67701103]
[0.61219327 0.66082924]	[2.4265679  3.90541077]
[0.89232895 0.87307364]	[3.32455643 6.95407913]
[0.53560412 0.20770059]	[1.2241901  3.83426955]
[0.6558743  0.25007512]	[0.49322521 5.00924948]
[0.88636333 0.93491428]	[3.24193577 5.67308084]
[0.17967786 0.29940537]	[1.61188828 1.72537418]
[0.12686734 0.65637182]	[0.98710156 4.81508593]
[0.69832277 0.54954059]	[1.94115169 4.05817882]
[0.24452489 0.65789361]	[2.73116038 2.8123404 ]
[0.16742661 0.60669504]	[0.58211695 2.53367079]
[0.47086994 0.1068071 ]	[3.04406224 1.69540424]
[0.56770801 0.57061236]	[1.13651537 3.01574475]
[0.80649719 0.77652928]	[2.27639286 4.85271524]
[0.26733634 0.70366177]	[2.83851264 4.45173684]
[0.60052284 0.37579713]	[2.1443432  3.61664776]
[0.9153817  0.44001435]	[1.80539953 6.83109834]
[0.61503825 0.72724118]	[1.64755274 5.57024658]
[0.64038837 0.35973799]	[2.6813388  4.14621142]
[0.35740261 0.38768829]	[0.82699229 2.94791651]
[0.28550565 0.02582462]	[1.88218595 0.53819687]
[0.29310858 0.22186429]	[1.44728318 3.1778182 ]
[0.93444712 0.39424205]	[1.25180817 4.01727993]
[0.54528799 0.77627959]	[2.56333238 3.73478256]
[0.6238063  0.87857759]	[3.88176432 3.49940344]
[0.04391291 0.99848766]	[3.3430558  4.51779896]
[0.55671468 0.12666322]	[1.8409909  3.09668744]
[0.29262006 0.53323515]	[1.15792634 2.71580851]
[0.74303014 0.34594419]	[2.81891797 5.13535667]
[0.00078428 0.33250679]	[1.77628936 1.7911495 ]
[0.88305172 0.61078571]	[2.38683865 6.61707949]
[0.12537237 0.7432249 ]	[3.48127863 3.32537601]
[0.81744574 0.62018463]	[1.93424611 5.14149306]
[0.71638862 0.08149126]	[-0.04106924  3.42663457]
[0.90763416 0.08654443]	[-0.12027676  2.17950322]
[0.2516306  0.49806095]	[1.25112826 3.14855199]
[0.52743187 0.86917417]	[2.75030071 5.45472198]
[0.00529672 0.05505615]	[-0.67632089 -1.54437905]
[0.47210564 0.17653071]	[1.7796251  0.91945025]
[0.05564455 0.14455356]	[-0.3733487  -1.02318748]
[0.57693908 0.92595348]	[1.98407171 5.74080072]
[0.65251205 0.9872817 ]	[3.76173546 6.53424874]
[0.95980788 0.96051174]	[1.61901132 6.84812608]
[0.8397122  0.59470479]	[1.23861363 6.55881158]
[0.29260729 0.61990716]	[-0.12638527  1.80062423]
[0.36560235 0.1075775 ]	[1.28742921 1.41906286]
[0.36782516 0.8637804 ]	[3.42554893 4.55771283]
[0.37418953 0.16190543]	[0.31727307 1.72421045]
[0.2018583  0.83326357]	[2.01781036 5.27126156]
[0.11762225 0.02085961]	[0.27156339 1.60206011]
[0.89395107 0.94807192]	[1.93690077 7.61213532]
[0.61727777 0.11599212]	[1.83147426 2.84830568]
[0.90950259 0.86067694]	[1.59025784 5.16945223]
[0.92104719 0.52080334]	[2.27200771 4.38404869]
[0.7456271  0.23371161]	[1.60474936 2.86422227]
[0.896817   0.09255322]	[1.10104512 3.8727127 ]
[0.45487903 0.11082226]	[1.99768082 2.90787302]
[0.02461412 0.55376655]	[1.70414246 2.43311494]
[0.67974216 0.82819232]	[2.5402979  5.73601389]
[0.75912296 0.72615015]	[3.04334556 6.08017587]
[0.81990396 0.45081711]	[1.41967507 3.89954582]
[0.47520037 0.44573216]	[2.81673034 2.85607211]
[0.2313448  0.51446501]	[-0.18512666  4.02112348]
[0.5943991  0.33157032]	[1.51994309 2.43998262]
[0.8659436  0.27169987]	[1.61306906 4.33140084]
[0.35824227 0.74877588]	[-0.26196    4.5381837]
[0.16732908 0.89914683]	[3.55088936 2.82143207]
[0.88736123 0.2187409 ]	[0.48054102 2.35344101]
[0.2017275  0.19036191]	[0.48689827 0.75865942]
[0.92260762 0.19667343]	[1.00454171 2.77477416]
[0.01921884 0.40314354]	[1.00178379 0.01989931]
[0.34794311 0.02903124]	[ 1.85731621 -0.18211265]
[0.72201794 0.2252156 ]	[0.01696459 3.05403286]
[0.94431859 0.09547519]	[-0.44906742  1.87635413]
[0.88271172 0.97407366]	[3.32998258 6.12811522]
[0.7284184  0.82117723]	[1.40237286 7.36201936]
[0.68189208 0.39925692]	[1.78975489 2.54565828]
[0.44085086 0.09567969]	[0.88702534 2.44445773]
[0.68200957 0.29247874]	[1.11448451 4.27897647]
[0.33368822 0.27963514]	[1.08109685 2.17455412]
[0.79605947 0.33656981]	[2.71717523 5.208949  ]
[0.60225481 0.75714314]	[2.28645386 4.26690364]
[0.98649478 0.33324142]	[2.49417743 5.0610244 ]
[0.85491217 0.48418918]	[1.27756834 3.49420937]
[0.96491053 0.21375692]	[1.57199778 3.9454008 ]
[0.89057299 0.78442529]	[2.86843644 6.88661479]
[0.76284843 0.09590462]	[0.47023301 2.96638886]
[0.9283216  0.21134441]	[-0.07174053  3.25867702]
[0.81142329 0.75362664]	[3.66302204 6.67745494]
[0.970624 0.47693 ]	[2.63472799 4.7975375 ]
[0.8798776  0.86456701]	[1.92781427 5.6420498 ]
[0.15441092 0.48760191]	[0.06461478 0.17816102]
[0.09086738 0.00548914]	[-0.47537293 -0.89070692]
[0.13395676 0.3079765 ]	[1.40697097 1.27872761]
[0.0336612  0.98712056]	[0.14262303 2.84775586]
[0.78578151 0.05868967]	[0.92517463 2.67451677]
[0.0987074  0.30395199]	[-0.30364406  1.89791044]
[0.02803997 0.54298446]	[0.8772089 0.5548301]
[0.37709336 0.88782102]	[1.23226551 4.25024981]
[0.52624732 0.82066257]	[3.79105239 4.36133764]
[0.97232244 0.73518852]	[1.92109797 5.23895479]
[0.37486299 0.2916552 ]	[-0.45211054  0.80385497]
[0.31214235 0.85861674]	[3.88151032 3.81709819]
[0.81768047 0.40333768]	[1.09346925 3.26319397]
[0.46182328 0.22160757]	[1.33592787 1.78937806]
[0.58284613 0.96489342]	[1.72945353 4.83601488]
[0.06529104 0.79935272]	[1.86254049 4.51080411]
[0.65898021 0.68294419]	[0.52020631 5.24614975]
[0.52819519 0.81222207]	[2.18482541 5.92023454]
[0.29373188 0.51744757]	[0.52444632 1.85159598]
[0.89848765 0.94620042]	[3.0215443  5.89333224]
[0.07884653 0.05275617]	[2.01842537 1.36329082]
[0.05622854 0.12424338]	[-0.4314321  -0.51613277]
[0.17666013 0.39721635]	[-0.52232752  0.648619  ]
[0.28996899 0.87100736]	[1.55906339 2.78654028]
[0.58743469 0.61856225]	[1.74783783 5.68003537]
[0.67068834 0.39748668]	[0.13753008 2.78245813]
[0.7173793  0.31270856]	[1.20762298 4.1882174 ]
[0.46613501 0.15016717]	[0.40138213 3.75999159]
[0.23460682 0.95730176]	[2.84238643 3.81829048]
[0.21337683 0.24505949]	[1.93671173 0.35898612]
[0.54305269 0.2295078 ]	[1.49220849 2.97231745]
[0.72725476 0.64671149]	[1.68642576 3.94307501]
[0.51845704 0.85783023]	[1.96391322 2.91239251]
[0.64763806 0.30551784]	[0.81155854 3.15584747]
[0.11977418 0.88447776]	[2.90578934 4.48283411]
[0.5915537  0.73741024]	[1.11823469 2.51385009]
[0.61580091 0.21347877]	[2.78792263 3.37556443]
[0.92447071 0.50764745]	[1.26156536 2.93549559]
[0.61444545 0.22828431]	[1.37871019 1.56338827]
[0.34065137 0.56771876]	[2.00104249 2.8272369 ]
[0.90518011 0.59025901]	[4.18994195 4.31234996]
[0.15789393 0.66040954]	[-0.29799498  3.10099446]
[0.66347304 0.25097448]	[1.63794334 3.4062355 ]
[0.56287512 0.1817799 ]	[1.73106007 1.71581467]
[0.96282757 0.20581838]	[1.58178607 3.83232025]
[0.93835405 0.96545514]	[3.40359665 6.8419232 ]
[0.28477843 0.05650971]	[-0.76800954  1.26274382]
[0.0207219  0.98727001]	[2.49903011 4.49756074]
[0.06135335 0.07764324]	[0.49905329 0.50191842]
[0.0751088  0.63743285]	[3.03072922 1.87995108]
[0.01169537 0.69874378]	[0.58784791 3.84547509]
[0.84458934 0.38851554]	[1.99711289 6.25521088]
[0.62034198 0.67858696]	[3.16036518 4.23520128]
[0.88763713 0.26344604]	[0.49583668 4.49013258]
[0.81997783 0.14028018]	[0.0938262  2.52084805]
[0.26503779 0.71697559]	[0.50701812 3.2081245 ]
[0.09791839 0.3795962 ]	[0.96242664 1.50227701]
[0.9442306  0.94177999]	[3.37722458 7.91874242]
[0.50133719 0.47429637]	[1.91416676 2.75878496]
[0.39088738 0.25021803]	[1.29184352 2.74614374]
[0.61149613 0.89272751]	[3.45634509 4.87950483]
[0.28071369 0.60196778]	[0.80292149 4.80147948]
[0.48403166 0.75631369]	[2.72297052 2.32515687]
[0.4883343  0.14033272]	[2.24235522 2.52735687]
[0.28081629 0.18081806]	[0.18373618 0.79523783]
[0.13770627 0.08190787]	[-0.0415398   2.41385973]
[0.13268546 0.59630288]	[1.69836692 3.19054616]
[0.7900615  0.39160579]	[0.21233946 3.37774798]
[0.95530682 0.07205894]	[1.29180633 1.39973419]
[0.03095035 0.41099542]	[0.84801261 1.49698653]
[0.44670001 0.26417716]	[-0.15717504  1.76531626]
[0.98726579 0.57990038]	[1.86024487 4.17554592]
[0.30542688 0.97099844]	[1.18819897 3.78621876]
[0.59090855 0.43010613]	[0.5282883  2.60056303]
[0.42364153 0.76225386]	[2.13843795 3.92644596]
[0.98789457 0.59402676]	[2.38656381 7.55051495]
[0.89348303 0.00407288]	[1.76437613 2.37448434]
[0.97953284 0.39669264]	[1.36067574 4.73362432]
[0.31279182 0.41210073]	[-0.29741894  2.51145994]
[0.46465599 0.21869426]	[0.02331543 3.35928988]
[0.36150737 0.14086604]	[0.7053921  1.51493008]
[0.2462237  0.51942759]	[0.80445117 2.05338013]
[0.51414886 0.67851567]	[1.76835974 3.67751825]
[0.23970593 0.92552099]	[2.18597135 5.77543019]
[0.49585558 0.08846827]	[1.21166992 1.37487513]
[0.310292   0.81805524]	[2.1885513  5.48593461]
[0.65371865 0.32911975]	[1.08628163 1.52028533]
[0.83509773 0.99942152]	[3.41352259 6.58972479]
[0.10433255 0.88758173]	[1.55605558 6.04316028]
[0.99968109 0.54528079]	[1.7651845  3.87264769]
[0.1317756  0.50137518]	[1.49910669 0.77155378]
[0.25959883 0.72685646]	[0.945929   2.68452334]
[0.3798617  0.91215372]	[3.74351894 5.50079238]
[0.85492776 0.44044109]	[2.62215815 5.61441482]
[0.76549837 0.27032946]	[-0.32338591  4.14936432]
[0.35689566 0.93800438]	[0.92960163 4.69252846]
[0.30361989 0.60540056]	[-0.64869466  4.84795484]
[0.60360212 0.71059511]	[1.07967242 3.32493317]
[0.80262621 0.3846784 ]	[1.76108066 3.69084238]
[0.35502226 0.86178493]	[1.63413842 3.986644  ]
[0.57636108 0.55788647]	[2.01104446 2.5856922 ]
[0.02872223 0.92676996]	[1.50549038 3.12143346]
[0.1008524  0.24582778]	[-0.17852395  1.79505375]
[0.55925129 0.62358425]	[0.82285279 3.22351297]
